,평점,일시,감상평
140,6,2020.02.12 18:37,"영화자체는 좋을지 모르지만 영화관에선 자본적이 없는데..  많이 졸았습니다. 어떻게든 끝까지 봤는데 집와서 결국 푹 잤어요. 같이 영화보러가면, 피곤하시면 서로 깨우지 마시고 그냥 참지 말고 자세요ㅎㅎ (옆에 친구는 깨워줄 사람 필요하다고 혼자보러가지말라네요.) "
141,10,2020.02.16 18:41,다들 에이미랑 로리가 뜬금없다고 하는데 원래 작은아씨들 후속편에서 실제로 둘이 결혼합니다! 원작 반영한거에요. 원래 조는 다른사람이랑 결혼하는게 원래 이야기 맞습니다.
142,10,2020.02.15 16:51,조 입장에서 영화보다보니.. 엔딩을 봤어도 뭔가슬프다. 역시 삶은 타이밍인가
143,10,2020.02.13 12:03,영화 본뒤에도 계속 생각나는 영화!!
144,7,2020.02.25 18:49,소소하게 재밌음 좋은 영화이긴함. 시간 뒤죽박죽이 좀 책 안읽은 사람은 보기 어려움
145,10,2020.02.14 11:55,명작을 훼손하지 않으면서도 잘만든 영화에요
146,9,2020.02.13 16:05,보는 내내  이유 모를 감정에 계속 울먹 거리면서 봤다.ost가 적절하게 깔리면서 더욱 집중하게 만들어주었고러닝 타임이 짧지는 않은 시간이었는데 전혀 지루하지 않고 재미있는 소설을 정주행하는 느낌이었다.영상미도 훌륭하고 배우들 얼굴보는 재미도 있었다ㅋㅋ 
147,10,2020.02.14 12:03,너무 너무 좋았어요! 각 배우들의 연기도 좋았고 잔잔한 감동을 느낄 수 있는 부분도 있고 삶의 일부를 표현한 것 같기도 하고??스크린에 담은 배경도 인상적인 부분이 있어좋았어요?
148,2,2020.02.20 18:45,아....제가 이상한가봅니다.ㅠ 제 옆에서 영화 보는 내내 팝콘과 이것저것 쩝쩝대고 먹던 두명의 여학생들은 영화 끝나고 '이건 대작이야' 이러던데 레알?
149,4,2020.02.12 22:56,사실 초반에 너무 지루했다 감동적이긴 한디ㅠ
150,10,2020.02.14 03:03,엠마왓슨 보러 갔다가 조를 응원하며 나왔다.
151,4,2020.02.15 23:53,"진짜 평점 사기인거 같은데 너무너무 지루하고 졸렸다..과거와 현재를 왔다갔다 하는 연출이 매끄럽지 못해서 혼란스럽고 인물 관계도 설명이 많이 부족해서 불친절한 영화다.그리고 애이미가 막내인걸 다 보고 알았다 너무 미스캐스팅,, "
152,10,2020.02.14 17:56,티모시 샬라메 얼굴 보러갔는데 여러모로 만족하고 나왔음
153,9,2020.02.22 11:17,기존 시간순이던 원작 및 전작과 차이점을 두기 위해 주요 플롯마다 시간을 교차배치한 점이 상당히 특이했네요
154,10,2020.02.17 16:07,어렸을 때 아껴가며 읽었던 고전을 쓰고 달았던 사랑과 삶을 경험한 어른이 되어 영화로 보니 그 자체로 감격스러웠다. 애착인물이 매번 바뀌던 어린 시절이었는데 영화를 통해 메그 조 베스 에이미의 모습들이 모두 나에게 있다는 걸 깨닫는 시간이었다. 그레타 거윅의 연출은 환상적이다. 
155,7,2020.02.16 01:18,어렸을 때 아껴가며 읽었던 고전을 쓰고 달았던 사랑과 삶을 경험한 어른이 되어 영화로 보니 그 자체로 감격스러웠다. 애착인물이 매번 바뀌던 어린 시절이었는데 영화를 통해 메그 조 베스 에이미의 모습들이 모두 나에게 있다는 걸 깨닫는 시간이었다. 그레타 거윅의 연출은 환상적이다. 
156,10,2020.02.17 22:59,조는 정말 멋지고 모두에게 사랑받을 사람이었다. 그리고 티모시 나올 때 마다 내가 다 사랑에 빠질 지경이었다.
157,10,2020.02.16 03:49,"너무 너무 좋았고 감명 받았던 영화. 영상미와 ost , 잔잔하게 흘러나오는 클래식 등 보는 내내 황홀했다. 대사도 하나 하나 너무 좋았고 , 또 보고 또 보고 싶은 영화다. 이 영화를 보고 나서 에이미역 맡은 플로렌스 퓨 배우님에게 반해버렸다 .. ♥ "
158,1,2020.02.20 19:27,너무 재미없었음 졸려서 자버림
159,10,2020.02.22 16:51,어렸을 때는 이해하지 못했던 원작을 영화를 보며 드디어 퍼즐을 맞춘 기분. 캐릭터들의 특성이 잘 돋보여서 좋았다
160,10,2020.02.17 18:11,억지로 슬픔을 자아내지 않아도 그냥 나도 모르게 눈물이 주르르 흘러내렸다. 주인공 조가 이제는 볼 수 없는 내 사랑하는 둘째 언니랑 너무 닮아서. 아낌없이 다 주고 정작 본인은 고독하게 생을 마감했던 언니에게 조가 위로의 메시지를 보내는 것 같았다. 
161,10,2020.02.17 00:02,조가 다른 선택을 했다면 작은아씨들을 쓸 수 있었을까?
162,10,2020.02.22 02:25,"19세기 후반을 배경으로 했지만, 21세기 현재의여성서사를 대표하는 명작의 반열에 올라도 손색이 없는 영화라는 느낌을 받았습니다. 특히 메기, 조, 에이미 각자의 욕망과 선택을 모두 존중하는 섬세하고 따뜻한 연출이 좋았습니다. 별다른 욕망이 없는 그저 착하기만한 베스가 일찍 세상을 떠나는 것도 의미심장하게 느껴졌습니다. "
163,7,2020.02.17 13:02,원작이 좋으니 스토리는 좋습니다. 메시지도 좋고요. 하지만 다소 난잡한 과거와 현재를 오가는 연출이라던지 중간에 느슨하게 풀리는 긴장감으로 조금 지루했어요.
164,10,2020.02.17 22:41,작은 이야기일수록 더 많이 쓰여져야 한다. 그것이 여성의 이야기라면 더더욱.
165,10,2020.02.17 19:36,"아주 옛날부터 여성은 ‘여성다움’을 강요받았다. 누군가는 저항하고, 누군가는 굴복했다. 이 강요가 지금은 달라졌는가?"
166,7,2020.02.17 13:41,아무래도 전체 내용을 영화에다 담다보니 책보단 감동이 떨어지는 느낌. 대사치는 속도도 너무 빠르고 장면전환 빨라서 정신없고 성년기 유년기 왔다갔다하는거 약간 혼란스러움. 연기는 다 좋은데 베스는 셋짼데도 너무 어려보이는 반면 막내가 너무 강렬함... 출판사편집자랑 얘기하는 장면에서 생각할 거리 던져준건 좋았음. 
167,1,2020.02.23 16:49,진짜 재미없음 2시간동안 꿀잠잤음 별 내용도없고 돈아깝다
168,10,2020.02.18 01:49,"로리야 어떻게 사랑이 변하니,,ㅜㅜ"
169,6,2020.02.17 10:50,기대하고 봤으나 평점만큼은 아니에요. 중간중간 지루한 감이 있어서 러닝타임이 좀 더 짧았으면 좋지 않았을까 싶네요. 원작을 아는데도 교차편집이 너무 정신없고 헷갈렸어요.
170,10,2020.02.13 13:14,참으로 시의적절한 영화^^시얼샤로넌-엠마왓슨의 미모와 연기 미쳤음. 남자가 봐도 티모시 샬라메는 심쿵. 마스크쓰고 극장갈 이유 충분.
171,1,2020.02.21 00:50,"진짜 보다 잘뻔했음ㅠ 기대많이했는데..,,"
172,1,2020.02.14 19:57,처음에 너무 지루해서 견디지 못하고 자버렸음 비추합니다
173,10,2020.02.18 07:02,요즘 나온 수준 낮은 한국영화 힐러영화그냥 입이 벌어지는  아름다운 영화임
174,10,2020.02.17 22:59,엄마랑 둘이 봤는데 잔잔하고 자극적이지 않아 좋았어요. 어린시절이 생각나여
175,10,2020.02.16 14:54,"원작이 주는 감동과는 다른 영화만이 보여 줄 수 감동요소를 모두 보여준다  완전 빠져드는 영화..아름다운 영상미, Ost, 연기, 스토리, 그리고 주옥같은 명대사 그야말로 100% 몰입도의 감동 그 자체인 영화! 지금 방금 봤는데.. 바로 또 보고 싶은 영화.. "
176,9,2020.02.16 04:01,네 자매의 인생을 응원합니다
177,10,2020.02.14 06:58,엠마왓슨  너무 이쁘다 ㅠ ㅠ
178,10,2020.02.20 11:29,"솔직히 작은아씨들 캐스팅은 좀 안맞는 것 같았다. 그럼에도 각 캐릭터 연기는 뛰어났으며 과거와 현재를 오갈때 색감으로 표현한 것도 좋았다.특히 로리역을 맡은 티모시의 연기는 진짜 사랑스러웠다. 마지막은 좀 캐릭터가... 망가지는 것 같아 아쉬웠지만, 그럼에도 가슴깊은 감동이 차오르는 영화다 "
179,10,2020.03.02 23:46,"어떤 천성들은 억누르기엔 너무 고결하고, 굽히기엔 너무 드높다."
180,8,2020.02.13 01:27,한 권의 책이 만들어지기 까지.
181,10,2020.02.22 19:03,"메그의 대사가 인상 깊었다. 네 꿈과 내 꿈이 다르다고 해서 중요하지 않은 건 아니라고. 물론 나는 조와 가장 많이 닮았지만 메그의 말이 이해가지 않는 건 아니었다. 각자의 삶은 다른 거니까. 그래도 나는 조처럼 살고 있고, 살아가고 싶다. 영화 속 조의 모든 부분이 마음에 박혀왔다. 책 속의 조는 결혼했지만 현실의 조는 독신이라는 암시도 좋았다. "
182,10,2020.02.14 01:08,좋다. 무슨 말이 더 필요할까.
183,10,2020.02.13 11:45,"이 영화를 보면 어딘가 모르게 따뜻해지고 가슴이 벅찬다. 우리의 인생은 모두 하나의 소설이며 , 슬픈일 기쁜일이 존재한다는것 자체가 멋진일이다. 그리고 조의 신념과 현실사이의 갈등을 잘 풀어낸것도 마음에 들었다."
184,10,2020.02.13 08:29,이렇게 따뜻하고 예쁜 영화라뇨
185,10,2020.02.12 23:47,티모시 보러갔다가 로넌에게 반하고 온 영화
186,1,2020.02.21 12:16,너무 지루함 이게 왜 평점이 좋은지 왜 상을 받았는지 이해불가 너무 지루해서 영화표값이 아깝다는 생각까지 하게됌
187,6,2020.02.12 14:12,소설은 재밌게 봤었는데 영화보다가 하품을 N번한듯 어떤 사람은 슬픈장면나올때 눈물흘리시던데 사람마다 케바케인듯 이거랑 ㅈㅈㄹㅂ 고민중이시면 ㅈㅈㄹㅂ 보세요..
188,6,2020.02.13 17:37,보다 잠. 엠마왓슨 이쁘다.
189,4,2020.04.06 15:22,원작의 수준에 못 미치는 너무나 아쉬운 연출...
190,10,2020.02.22 20:01,"나의 소녀시절 가치관 형성에 지대한 영향을 미쳤던 두 인물,빨강머리 앤과 조!마음한켠에 베스의 여리여리함도 욕망(?)으로 자리했었으나 난 조였었다^^소설이 영화화 됐을때 대부분 실망했었는데 이건..넘 반가웠다.국민학교 4학년때 학교 도서관에서 빌려봤던 책의 주요장면 삽화도 떠오르고..당시엔 조의 신여성상만 동경했었는데 영화를 보니 조의 외로움은 그당시 어려서 가슴에 들어오지 않았었나보다.나의 작은아씨들! 다시 만나서 반가웠어요♡ "
191,10,2020.02.20 17:20,클리셰나 작은 아씨들 원작을 좋아하시고 7년 전과 현재를 반복적으로 오가는 컷 편집을 좋아하신다면 추천난잡하다고 느껴지고 영화가 왔다갔다 하는 것을 좋아하시 않는다면 비추천. 개인적으로 작은 아씨들 원작의 매력을 잘 살렸다고 생각합니다. 
192,10,2020.02.17 20:28,인생영화 한편 더 추가..
193,10,2020.02.17 02:49,인생영화 한편 더 추가..
194,10,2020.02.16 19:28,사랑이면 된다는 말이 너무 신물나지만 난 너무 외로워요
195,10,2020.02.16 17:13,영상이 너무 이뻤고 바닷가에서 베스랑 조 앉아있는데모래가 바람불어서 떠나가고있는 느낌의 연출이너무 여운이 남네요ㅜㅜ
196,10,2020.02.15 10:34,가족애가 잘 나타나는 영화였습니다
197,8,2020.02.14 17:34,첨엔 자꾸 과거와 현실을 오가는 플롯에 집중하기 어려웠고 산만하다고 느꼈지만 보다보면 적응됨 ... 잔잔한 감동과 영상미가 있음.
198,6,2020.03.25 13:50,캐스팅 미스아님? 짱구이마 엠마가 조마치가 아니라 매그라고? 시얼샤같은 노안이 어째서 둘째라는거지? 게다가 허스키저음 플로렌스가 막내에이미? 헐...진짜 어처구니없는건 가장 진중하고 사려깊고 창백해야할 베스는 얼굴이 너무 포동포동...90년대 작은아씨들은 정말 넘사벽 캐스팅이라는걸 다시한번 실감했음.. 
199,10,2020.03.01 23:30,영화관에서 한번 더 보고싶은 영화몇개의 울림있는 대사가 기억에 남는다
200,10,2020.02.23 16:26,조가 행복했으면 좋겠다
201,10,2020.02.20 22:49,슬픈 장면도 아닌데 이상하게 눈물이 줄줄 났다. 인생을 살아가는 순간순간 생각날 것 같은 영화
202,9,2020.02.20 21:42,위노나 라이더가 나오는 작은 아씨들 영화에서 중간에 빠진 로맨스 부분이랑 부족한 개연성을 다 채운 완벽한 영화! 특히 영화 후반부가 예전 영화와 크게 달라서 너무 좋았다. 다들 시얼샤 로넌의 아름다운 눈동자에 치얼쓰!! 
203,10,2020.02.18 13:59,장모님  라스트제다이 볼때  무지 욕해서 죄송합니다ㅠ
204,10,2020.02.14 17:06,시얼샤로넌 팬으로서 인생영화를 또한번 만난것이 행복해요
205,1,2020.04.14 01:59,"하물며 10점짜리 평점들도 의상 영상미 명대사 칭찬에만 나섰다. 개연성, 흡입력, 재미 모두 떨어지는 영화다. 페미니즘 막차에 급하게 올라탄 느낌. 나는 원작이 기억은 안나지만, 적어도 오만과 편견 정도를 예상했다. 우선 스토리가 중구난방이다. 그냥 스토리를 한마디로 요약하면 ‘행복했던 그 시절’ 정도. 다음 인물들의 감정선. 너무 제멋대로다. 관객들이 채 느끼기도 전에 상황은 종료되고 갑자기 시점이 바뀐다. 또 세 번째로는 미스캐스팅. 심각하다. 가장 인지도 높은 엠마 왓슨을 불러놓고 비중적은 역을 시키면 어떡하자는 걸까? 너무 예뻐서 주인공은 안중오브아웃이다. 그리고 에이미가 너무 중후하다. 첫 부분에 누가 언니고 동생인지 구별하느라 한참을 헤맸다. 둘째 조는 디테일한 연기에는 힘썼으나 글쎄... 차라리 에이미가 조 역을 맡았으면 나았으려나. 이미지와 인물의 생김새가 매칭이 잘 안됐다. 그나마 나은 건 빛베스뿐. 하여간 영화 보는 내내 이해하려고 애쓰고 등장인물들 감정신에 공감해보려 했으나 장렬히 실패. 그리고 파리에서 영어를 왜 써요 불어배우러 갔으면서. "
206,7,2020.02.25 09:30,연출과 연기는 다 좋았지만 지루했어요 ㅠㅠ
207,10,2020.02.13 22:39,결혼은 돈벌이가 아니다결혼은 로맨스 다
208,10,2020.02.13 15:35,시얼샤로넌은연기의신이다..
209,9,2020.02.12 19:06,조의 시선에서 바라보는 네 자매의 삶. 흥미롭고 예뻣다
210,1,2020.03.12 03:13,원작과 94년도 영화를 다 보고 봤지만 영상미에 비해 스토리를 풀어가는 방식이 너무 정신없어서 원작을 아는 사람이 봐도 이해하기 어려움. 좋은 배우들을 제대로 활용 못한 느낌이 매우 강함
211,10,2020.02.17 22:14,일기에 쓰고 싶을만큼 좋았던 영화였다
212,10,2020.02.14 03:39,"편집이 좀 정신없고.. 책을 본적도 무슨내용인지도 모르는 입장에서 봤을 때는 누가 누군지 초반에 헷갈리긴함근데 잔잔하고 영화 내내 예쁜감성이다 싶은 느낌은 계속 들었음과하지 않은 느낌이 꽤 좋았고, 심야로 봤더니 지금 갬성 터짐 "
213,10,2020.02.13 09:51,그때나 지금이나 여성에 대한 억압이랄까...영화의 아름다운 영상미를 보면서도 내내 마음이 착잡했다.넉넉지 않은 따뜻한 사람에게는 베풂에도책임이 뒤따른다는 것도.&#39;조 마치&#39;의 사랑하고 싶으나그에 수반될 또 다른 책임감에 대한 걱정도너무나 감정이입이 되었다. 
214,1,2020.02.20 16:17,진짜재밌어서10점씩주는거맞음? 잠안오는사람보러가리세요꿀잼잡니다
215,1,2020.02.17 10:36,이정도 평점 영화는 절대 아님전작들에 비해 별로임원작훼손급
216,2,2020.02.20 07:21,재밌다고 해서 봤는데 너무 스토리가 지루하고 별 내용이 없고 이해도 잘 안가고 졸립니다. 제일 재미없는 영화였습니다. 왜 평점이 높은지 모르겠네요
217,6,2020.02.12 20:18,비오는데 힐링하러갔다가...에휴..넘..지루했어요
218,4,2020.02.13 03:06,미스 캐스팅..늙은 아씨들 ....과거와 현재의 구성도 별로...
219,6,2020.02.12 18:26,나만 보면서 졸았나..훌쩍
220,10,2020.04.18 00:27,영상미가 너무 예쁜 영화... 소장하고 싶은 영화입니다
221,9,2020.03.29 20:58,아버지가 전쟁터에서 싸우고 있을 때 작은 아씨들은 여성이 부자가 될 수 없다 말하는 세상에서 싸우고 있었다
